,ce
0,1.917008390459692
1,1.7305202742383219
2,1.6923494609637733
3,1.6295449543660394
4,1.5877653984304525
5,1.5478790417907555
6,1.52096800457047
7,1.4762099497859564
8,1.401957560659901
9,1.3501823592020692
10,1.3203523856308472
11,1.289384960818332
12,1.2626751744974425
13,1.2320023323675582
14,1.1947250736028319
15,1.1580070907982838
16,1.135612668259718
17,1.1133157548912682
18,1.0936886622752846
19,1.0659876761238125
20,1.0559859228815942
21,1.0284870428063841
22,1.0141997820789728
23,1.0031223478928801
24,0.9809555636534865
25,0.9636949573996989
26,0.9478256838780342
27,0.9352131237500255
28,0.9130254414197271
29,0.9070821173579482
30,0.8843357100230569
31,0.8751186754819219
32,0.8587525349039346
33,0.8414804956115511
34,0.8294886658468528
35,0.8140462859044661
36,0.8100730909012013
37,0.7912750040637765
38,0.7808032988262342
39,0.764962327129093
40,0.7477957514377772
41,0.7379699568401383
42,0.7219757819402982
43,0.7164316401014709
44,0.704177368090099
45,0.6811544634337235
46,0.6727918158164264
47,0.6633087743971129
48,0.6518641326001859
49,0.6373299703234403
50,0.6244018315959018
51,0.606014460635144
52,0.5995712940882976
53,0.5819176575701612
54,0.5762528716691445
55,0.5644746912672367
56,0.5515065571515978
57,0.5442815373943831
58,0.5292189032924031
59,0.5100928128178859
60,0.5067456995800421
61,0.49838217741695184
62,0.4885627004984553
63,0.4805436390782973
64,0.4723905164302945
65,0.4588966879677318
66,0.4598415078437101
67,0.4461344718881455
68,0.4341167746114979
69,0.4253463526119186
70,0.4163426515134616
71,0.40684798974511527
72,0.40964781863540667
73,0.39363960384599467
74,0.3815109404627124
75,0.37912738994667805
76,0.3761967978403101
77,0.36666369378773345
78,0.3580530684835163
79,0.35324521238820394
80,0.3472129233710894
81,0.345458446344945
82,0.33364350068507204
83,0.3311659224860796
84,0.32384538155959425
85,0.3197320275254018
86,0.3140217892476963
87,0.3139020003752857
88,0.30359086380106115
89,0.29639854740538674
90,0.2927570335140881
91,0.2919803799309185
92,0.2899416159302564
93,0.2810830390355203
94,0.28026108340436084
95,0.270320434129734
96,0.2688047212630872
97,0.2632611265706231
98,0.25828566663031766
99,0.2579880283574091
