,accuracy,f1score
0,0.16063986718654633,0.09903459995985031
1,0.28508979082107544,0.32606571912765503
2,0.30697372555732727,0.31736087799072266
3,0.32332924008369446,0.3191777765750885
4,0.34027937054634094,0.32639116048812866
5,0.34720486402511597,0.3423635959625244
6,0.3805072009563446,0.4240698516368866
7,0.4106254577636719,0.44671329855918884
8,0.43026986718177795,0.47654300928115845
9,0.4467966854572296,0.5013558864593506
10,0.46372127532958984,0.5140470862388611
11,0.47117260098457336,0.514914870262146
12,0.48323318362236023,0.5222638249397278
13,0.5107706785202026,0.5329211354255676
14,0.5466359257698059,0.5517409443855286
15,0.5641442537307739,0.5596051812171936
16,0.5748351216316223,0.5639711618423462
17,0.5879942178726196,0.569747269153595
18,0.5969961881637573,0.5721065402030945
19,0.6071293950080872,0.5809741020202637
20,0.6145216226577759,0.584689199924469
21,0.6254727244377136,0.5906551480293274
22,0.6311883926391602,0.5953194499015808
23,0.6356666684150696,0.6006345748901367
24,0.6476846933364868,0.6089054942131042
25,0.6539112329483032,0.6139494776725769
26,0.6642748117446899,0.6195086240768433
27,0.6682462692260742,0.6248779892921448
28,0.6768438220024109,0.6319015026092529
29,0.6796364188194275,0.6346403956413269
30,0.6885913014411926,0.6426130533218384
31,0.6924700140953064,0.6447283029556274
32,0.6993823647499084,0.6500162482261658
33,0.7051851153373718,0.6545178294181824
34,0.7104354500770569,0.6582329869270325
35,0.7143646478652954,0.6641989350318909
36,0.7180215120315552,0.6643887758255005
37,0.7226296663284302,0.6711140275001526
38,0.729515016078949,0.6732292175292969
39,0.7321475744247437,0.6755884289741516
40,0.737709105014801,0.6801442503929138
41,0.7432562708854675,0.6851068735122681
42,0.7488223314285278,0.6899609565734863
43,0.7512933611869812,0.6927812099456787
44,0.7571717500686646,0.6985573172569275
45,0.7627853155136108,0.7016216516494751
46,0.7666872143745422,0.7048215866088867
47,0.769544780254364,0.7100011110305786
48,0.7727528214454651,0.7118179798126221
49,0.7752711176872253,0.7144755125045776
50,0.7796878218650818,0.7178110480308533
51,0.7865988612174988,0.7249159216880798
52,0.7881002426147461,0.724617600440979
53,0.7956384420394897,0.7305293679237366
54,0.7972033619880676,0.7343530058860779
55,0.8015545606613159,0.7350580096244812
56,0.8070243000984192,0.7426781058311462
57,0.8102632761001587,0.7432747483253479
58,0.8102343678474426,0.7449288964271545
59,0.8175001740455627,0.753172755241394
60,0.8200756311416626,0.7537965178489685
61,0.8235941529273987,0.7570777535438538
62,0.8269543051719666,0.7604404091835022
63,0.8308082222938538,0.7653487324714661
64,0.8312395811080933,0.7681961059570312
65,0.8357324004173279,0.769524872303009
66,0.836288571357727,0.772670567035675
67,0.8410786390304565,0.7758433818817139
68,0.8429332971572876,0.7781755328178406
69,0.8481749296188354,0.7822160720825195
70,0.8500862121582031,0.7857414484024048
71,0.8531004786491394,0.7889413237571716
72,0.8530827760696411,0.7913548350334167
73,0.8577876687049866,0.7951784133911133
74,0.8646720051765442,0.8013884425163269
75,0.8653118014335632,0.8031781911849976
76,0.8647400140762329,0.8040459752082825
77,0.8676857352256775,0.8058629035949707
78,0.8710330128669739,0.809415340423584
79,0.8752638697624207,0.814133882522583
80,0.8762336373329163,0.8162219524383545
81,0.8772405982017517,0.8164659738540649
82,0.881472110748291,0.8214014768600464
83,0.8812418580055237,0.8214285969734192
84,0.8837558031082153,0.8244657516479492
85,0.885186493396759,0.8262555599212646
86,0.8883374333381653,0.831516444683075
87,0.8882256150245667,0.83040452003479
88,0.8914483189582825,0.8353129625320435
89,0.8944975733757019,0.8385128378868103
90,0.8945319056510925,0.8390009999275208
91,0.8943158984184265,0.8396518230438232
92,0.8978670239448547,0.8448041677474976
93,0.9002560377120972,0.8459702730178833
94,0.9004295468330383,0.8471092581748962
95,0.9032179713249207,0.8506616950035095
96,0.9050382971763611,0.8524243235588074
97,0.9058499932289124,0.8545123934745789
98,0.9075673222541809,0.8566276431083679
99,0.9077518582344055,0.8566547632217407
